step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
43,0.8890980124473572,0.0029563548856236,0.8616199970245362,0.0052434393113634,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
44,0.8898020029067993,0.0028975166829602,0.8615799963474273,0.0054043934780141,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
45,0.8904379963874817,0.0029416611659116,0.861739993095398,0.0053006038334168,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
46,0.8911100029945374,0.0030780788828211,0.8618600070476532,0.0052408374034753,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
47,0.8916580021381378,0.0030855112152899,0.8619199991226196,0.0049959627751952,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
48,0.8923260033130646,0.0031145813937687,0.8620100021362305,0.0049556977842542,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
49,0.8929259896278381,0.0031108706831518,0.86214000582695,0.0048168838615953,0.01,42,21_21,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
0,0.5919319868087769,0.0228727477904719,0.7464900076389313,0.0124458413320978,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
1,0.7784539997577667,0.0089567586723496,0.7986900031566619,0.0085075819716751,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
2,0.8116079986095428,0.0037473392111156,0.8179700076580048,0.0043372872452207,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
3,0.8259839951992035,0.0017721145352442,0.8281099915504455,0.0035842459665823,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
4,0.8346700072288513,0.0015312621166806,0.834500002861023,0.0034982863266588,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
5,0.840833991765976,0.0014779771812405,0.8385799884796142,0.0030704368046046,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
6,0.845848000049591,0.001625323593612,0.8422599971294403,0.0030004046751669,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
7,0.8497680068016052,0.0015922847596438,0.8452600002288818,0.002684477754856,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
8,0.8531859993934632,0.0016085228322321,0.8474700033664704,0.0029809660181133,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
9,0.8559759974479675,0.0016695054888261,0.849239993095398,0.002813602901611,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
10,0.858595997095108,0.0015393677080337,0.8511399984359741,0.0030614373131423,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
11,0.8609279990196228,0.0013237981494561,0.8527499973773957,0.0030516283762258,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
12,0.8632039964199066,0.0012681208727093,0.853689992427826,0.0032669484076755,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
13,0.8650420010089874,0.0011996809167639,0.8549700021743775,0.0037454049268483,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
14,0.8669500052928925,0.0012558130932561,0.8559399962425231,0.0036989689921153,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
15,0.8687640011310578,0.001224638981353,0.8569499969482421,0.0039289233427422,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
16,0.8704340040683747,0.0013183671719065,0.857830011844635,0.0041528411534679,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
17,0.8720099985599518,0.0013163625687689,0.8585900008678437,0.0044304548595479,0.01,42,44_44,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
