step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,log,thetam,algo_perc,dataset,bs,rob,project,layers,input_dim,same_random_classifier,rm_pixel,binarize_dataset,save_results,epochs,seed,train_dim,n_runs,device,algo_layer,thermometer_bits,freeze_last,k,grouping_factor,epoch_interval_switch,prob_reinforcement,prob_update,val_dim,rescale,freeze_first
39.0,87.20460000000001,0.0752598166354407,86.09800000000001,0.3116985723419337,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
40.0,87.24960000000002,0.0724198867715235,86.051,0.2940561170933206,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
41.0,87.25559999999999,0.0880672470331625,86.061,0.3106267857091532,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
42.0,87.2654,0.0571667735664672,86.072,0.3128194367362756,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
43.0,87.3158,0.0721523388394317,86.12199999999999,0.2942040108496149,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
44.0,87.34700000000001,0.0776929855263655,86.082,0.2776256472302225,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
45.0,87.34060000000001,0.0692014450716164,86.119,0.3104335677725603,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
46.0,87.3602,0.068389765316164,86.10600000000002,0.3333526661060306,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
47.0,87.401,0.0673334983496353,86.09,0.3228931711882431,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
48.0,87.40540000000001,0.073468632762563,86.102,0.2979194522014314,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
49.0,87.443,0.0575030433977187,86.155,0.347656439606691,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
50.0,87.4712,0.0603469966112673,86.12800000000001,0.3733577372976211,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
0.0,11.7742,2.7333900490050813,11.762000000000002,2.660066916451539,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035_1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
1.0,72.148,0.282146061464626,80.59700000000001,0.4079227868114267,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035_1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
2.0,81.48299999999999,0.1290620006043597,82.514,0.3697350402653216,False,0,cp+r,fmnist,100,258,bnn-fmnist-localloss,1035_1035,,False,False,True,True,50,42,,10,0,one,0,True,1,115,0,0.5,1,10000,False,False
