step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
23,0.9995799958705902,0.0001326744265291,0.9251326024532318,0.0021305748887727,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
24,0.9996500074863434,0.0001024719698651,0.925103121995926,0.0022001394948264,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
25,0.9997700095176696,0.0001268899208434,0.9249558031558992,0.0023499046220078,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
26,0.9998400032520294,0.0001199950785818,0.9249558031558992,0.0023350895883735,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
27,0.9998500049114228,0.0001024603366921,0.924867421388626,0.0024153114044808,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
28,0.999919992685318,5.999803691125401e-05,0.9248674154281616,0.0021368774776752,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
29,0.9999299943447112,6.402976774307497e-05,0.9246906340122224,0.00195973567108,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
30,0.9999399960041048,6.63309241607597e-05,0.9246611714363098,0.0019985446037548,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
31,0.9999399960041048,6.63309241607597e-05,0.9248084902763368,0.0019799945026735,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
32,0.9999399960041048,6.63309241607597e-05,0.9247495591640472,0.00212548873499,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
33,0.9999599993228911,6.632912664793902e-05,0.9247495591640472,0.0020590975744183,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
34,0.9999899983406066,3.000497817993164e-05,0.9249263405799866,0.0021279344053959,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
35,1.0,0.0,0.9248379468917848,0.0020894392756514,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
36,1.0,0.0,0.9249558031558992,0.0019187641242853,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
37,1.0,0.0,0.9248674154281616,0.001976484312862,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
38,1.0,0.0,0.9250147342681884,0.0020927519584847,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
39,1.0,0.0,0.924896878004074,0.0020261493786552,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
