algo_layer,algo_perc,binarize_dataset,bs,dataset,device,epoch_interval_switch,epochs,freeze_first,freeze_last,grouping_factor,input_dim,k,layers,log,n_runs,prob_reinforcement,prob_update,project,rescale,rm_pixel,rob,same_random_classifier,save_results,seed,thermometer_bits,thetam,step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,train_dim,val_dim
one,cp+r,False,32,uci_landsat,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,93.993783993784,0.2976278123588935,89.48717948717949,0.5119367959605009,,0.2
one,cp+r,False,32,uci_mammographic,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,81.01430429128737,1.0895375846893856,79.42708333333333,4.302789490067267,,0.2
one,cp+r,False,32,uci_mammographic,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,85.00650195058518,0.572910033079602,84.01041666666667,1.359165453197903,,0.2
one,cp+r,False,32,uci_mammographic,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,84.42132639791939,0.8302153289733322,84.16666666666666,1.776950219711665,,0.2
one,cp+r,False,32,uci_mice,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,95.04629629629628,3.0743494689225668,87.63888888888889,4.882229260434249,,0.2
one,cp+r,False,32,uci_mice,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,100.0,0.0,99.58333333333334,0.2493131855154857,,0.2
one,cp+r,False,32,uci_mice,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,99.97685185185183,0.046296296296299,98.19444444444444,0.8893228107545633,,0.2
one,cp+r,False,32,uci_mushroom,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,99.97230769230768,0.027348290514819,99.96305418719211,0.0492610837438405,,0.2
one,cp+r,False,32,uci_mushroom,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,100.0,0.0,99.993842364532,0.0184729064039402,,0.2
one,cp+r,False,32,uci_mushroom,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,99.98615384615384,0.0187793163318986,99.91379310344828,0.1037703174036511,,0.2
one,cp+r,False,32,uci_musk,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,99.71964387194544,0.0895744680245289,98.46853677028052,0.4299453185370092,,0.2
one,cp+r,False,32,uci_musk,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,99.37298730820233,0.1237688670120824,98.25625473843824,0.2712440306292382,,0.2
one,cp+r,False,32,uci_musk,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,99.15135442318622,0.073756099010916,98.013646702047,0.2872978820545319,,0.2
one,cp+r,False,32,uci_naticusdroid,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,93.69726412682178,0.3819726370917732,93.86634844868736,0.754519946831161,,0.2
one,cp+r,False,32,uci_naticusdroid,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,95.18366999062474,0.0750747345450375,95.20286396181385,0.1276165514641166,,0.2
one,cp+r,False,32,uci_naticusdroid,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,94.76306145060936,0.1325102483587623,94.6675758608933,0.429093382055664,,0.2
one,cp+r,False,32,uci_nursery,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,83.48476080246914,0.8208400870247466,84.70293209876543,2.021490814090938,,0.2
one,cp+r,False,32,uci_nursery,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,92.80189043209876,0.2024107607961042,92.80864197530865,0.6597560636761006,,0.2
one,cp+r,False,32,uci_nursery,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,90.29610339506172,0.4705455832557035,90.3858024691358,0.8926638804925657,,0.2
one,cp+r,False,32,uci_phishing,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,93.45997286295793,0.3443081835970249,92.5101763907734,0.6769771955519721,,0.2
one,cp+r,False,32,uci_phishing,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,95.39687924016285,0.2649555574651085,94.36906377204885,0.7259827988499018,,0.2
