step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,rescale,log,freeze_last,layers,rob,thermometer_bits,algo_layer,binarize_dataset,k,dataset,input_dim,grouping_factor,same_random_classifier,prob_reinforcement,prob_update,algo_perc,project,seed,save_results,val_dim,thetam,epochs,device,bs,n_runs,rm_pixel,epoch_interval_switch,freeze_first,train_dim
50.0,86.69689800210305,0.2097455757657089,84.91587802313353,0.5551462942497495,False,False,True,187_17,140.0,0,baldassi,False,1,uci_telescope,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,83.78417455310199,0.2611205500080558,82.06098843322818,0.5563152078406426,False,False,True,66_6,140.0,0,baldassi,False,1,uci_telescope,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,96.84039087947885,1.602725029334534,88.28947368421053,3.082993293121048,False,False,True,15_3,0.25,0,baldassi,False,1,uci_thyroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.64169381107492,0.2280130293159628,95.13157894736842,2.5683185915714675,False,False,True,275_25,140.0,0,baldassi,False,1,uci_thyroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.3485342019544,0.3854123637198493,93.55263157894736,2.23684210526316,False,False,True,88_8,140.0,0,baldassi,False,1,uci_thyroid,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,95.67144719687091,0.8644372596740946,93.29842931937172,1.7954375077991886,False,False,True,121_11,140.0,0,baldassi,False,1,uci_tic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,84.65449804432856,1.4670288022253883,82.67015706806282,4.32658449028881,False,False,True,20_4,0.25,0,baldassi,False,1,uci_tic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,97.88787483702735,0.3858839266479417,96.80628272251307,0.8587025898877849,False,False,True,363_33,140.0,0,baldassi,False,1,uci_tic,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,82.62096774193549,19.18223609441,66.93548387096774,12.602338616527454,False,False,True,15_3,0.25,0,baldassi,False,1,uci_vertebral,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,99.43548387096774,0.9230260598596428,80.64516129032258,6.077885058521542,False,False,True,209_19,140.0,0,baldassi,False,1,uci_vertebral,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,98.14516129032258,1.4335797447283174,77.09677419354838,5.290715957050559,False,False,True,66_6,140.0,0,baldassi,False,1,uci_vertebral,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,71.4125,21.782324399613557,64.97,18.71427529988805,False,False,True,15_3,0.25,0,baldassi,False,1,uci_waveform,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,96.8625,0.3303880294441654,83.22,1.0117311895953376,False,False,True,154_14,140.0,0,baldassi,False,1,uci_waveform,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,86.72999999999999,11.26112671982693,74.56000000000002,9.04347278427928,False,False,True,55_5,140.0,0,baldassi,False,1,uci_waveform,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,83.40720221606648,2.248550013693153,82.5925925925926,2.178583877015221,False,False,True,15_3,0.25,0,baldassi,False,1,uci_webphishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,92.59464450600184,0.6080176411137339,89.03703703703704,1.5730933764144654,False,False,True,187_17,140.0,0,baldassi,False,1,uci_webphishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
50.0,89.81532779316713,2.0770698092722117,85.48148148148148,2.323612909830832,False,False,True,66_6,140.0,0,baldassi,False,1,uci_webphishing,,1,False,0.5,1,cp+r,bnn-uci-baldassi,42,True,0.2,0,50,0,32,10,False,0,False,
