step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
28,0.9999949991703032,1.500248908996582e-05,0.8367399930953979,0.0030166882979514,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
29,1.0,0.0,0.8371699988842011,0.0029960121976267,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
30,1.0,0.0,0.8374099969863892,0.0030933577724742,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
31,1.0,0.0,0.8375500023365021,0.0032723827663024,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
32,1.0,0.0,0.8375999987125397,0.0031840217554956,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
33,1.0,0.0,0.8375599980354309,0.0032031865272633,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
34,1.0,0.0,0.8377199947834015,0.0032288660954339,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
35,1.0,0.0,0.8377199947834015,0.0031713773248801,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
36,1.0,0.0,0.8379199981689454,0.0032556989413139,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
37,1.0,0.0,0.8380300045013428,0.003260994501529,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
38,1.0,0.0,0.8380600035190582,0.003270534664763,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
39,1.0,0.0,0.8382200002670288,0.0032145947119566,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
40,1.0,0.0,0.8382100045681,0.0030576029895509,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
41,1.0,0.0,0.8382500052452088,0.0030774275466424,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
42,1.0,0.0,0.8383000016212463,0.0030783118291908,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
43,1.0,0.0,0.8383199989795684,0.0030603336324105,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
44,1.0,0.0,0.8382800042629241,0.0029284123453339,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
45,1.0,0.0,0.8382299959659576,0.0029305572162535,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
46,1.0,0.0,0.8383600056171417,0.0030190087985035,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
47,1.0,0.0,0.8383500099182128,0.0030017565436443,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
48,1.0,0.0,0.838400000333786,0.0029792730729182,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
49,1.0,0.0,0.8384400010108948,0.0031003808999411,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
0,0.1674450017511844,0.0334070861717285,0.1957400023937225,0.0501332094315039,0.01,0.0,42,1035_1035_1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
1,0.3103774964809417,0.0142522875850554,0.4878000020980835,0.0222169329496185,0.01,0.0,42,1035_1035_1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
2,0.5938900053501129,0.0095040829636371,0.687119996547699,0.0150923081351874,0.01,0.0,42,1035_1035_1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
3,0.7259424984455108,0.0060760010470683,0.7610199928283692,0.0105704086151222,0.01,0.0,42,1035_1035_1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
4,0.7844224989414215,0.0039722009754886,0.7893800020217896,0.0081702923747547,0.01,0.0,42,1035_1035_1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
5,0.8156349956989288,0.0027584212193954,0.8030699968338013,0.0083652871483499,0.01,0.0,42,1035_1035_1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
6,0.8374324977397919,0.0021688454683055,0.8106100022792816,0.0087787706610089,0.01,0.0,42,1035_1035_1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
7,0.8557199954986572,0.0015895599544407,0.8152499973773957,0.0096857779405041,0.01,0.0,42,1035_1035_1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
