step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
29,1.0,0.0,0.8062600016593933,0.0029873748554936,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
30,1.0,0.0,0.8063599944114686,0.0028079203531744,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
31,1.0,0.0,0.8063399970531464,0.0027717233847309,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
32,1.0,0.0,0.806279993057251,0.0028673274963879,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
33,1.0,0.0,0.8062899887561799,0.0029357911579675,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
34,1.0,0.0,0.8062200009822845,0.0030710950400742,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
35,1.0,0.0,0.8060699939727783,0.0030268880517452,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
36,1.0,0.0,0.8060999989509583,0.0031244103582466,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
37,1.0,0.0,0.8061299979686737,0.0029637864524564,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
38,1.0,0.0,0.8060900032520294,0.0031146357071586,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
39,1.0,0.0,0.8061099946498871,0.0032188297812778,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
40,1.0,0.0,0.8061900079250336,0.0031576750058548,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
41,1.0,0.0,0.8060799956321716,0.0030514945540649,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
42,1.0,0.0,0.8060499966144562,0.0030761236627007,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
43,1.0,0.0,0.806060004234314,0.0029326406778901,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
44,1.0,0.0,0.8059600114822387,0.0028966225226609,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
45,1.0,0.0,0.8059499979019165,0.002870630048368,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
46,1.0,0.0,0.805949991941452,0.002877247837093,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
47,1.0,0.0,0.8059199988842011,0.0030550899850019,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
48,1.0,0.0,0.8057699918746948,0.0031099958818862,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
49,1.0,0.0,0.8057299971580505,0.0030479598793209,0.01,42,33_33,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
0,0.3044475048780441,0.0518219074641728,0.4428700000047684,0.0724098203352434,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
1,0.5281700044870377,0.0754375065232465,0.5572700053453445,0.0772885125015459,0.01,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
